movieId,embedding
17.0,"[-0.09866780042648315, 0.13448463380336761, 0.2170770913362503, 0.0018803710117936134, 0.01623796857893467, -0.05934949591755867, 0.0180740337818861, 0.048186782747507095, -0.37493136525154114, 0.010583444498479366, 0.33825233578681946, -0.26639503240585327, -0.06403092294931412, 0.21576225757598877, 0.004824503790587187, -0.19797560572624207, 0.013109801337122917, 0.00935201533138752, -0.2878510653972626, -0.0472937747836113, -0.008984506130218506, 0.20395736396312714, -0.16754652559757233, -0.17162209749221802, 0.2669830322265625, 0.22442936897277832, 0.09254022687673569, -0.316543310880661, 0.2687076926231384, 0.10287889093160629, 0.02755673974752426, 0.06451170146465302]"
18.0,"[-0.06664541363716125, -0.1639474779367447, 0.14139612019062042, -0.0018692497396841645, 0.16708576679229736, 0.13620087504386902, -0.052478618919849396, 0.28352001309394836, -0.21188385784626007, 0.2702215313911438, 0.33115172386169434, 0.11593326926231384, 0.09141232073307037, 0.13711857795715332, -0.07828901708126068, -0.11223169416189194, -0.14806883037090302, 0.2180706262588501, -0.0036456328816711903, -0.1902109831571579, -0.18701259791851044, 0.07056763768196106, -0.21509522199630737, -0.07485154271125793, 0.32287725806236267, 0.14848856627941132, -0.07554412633180618, -0.1420852541923523, -0.2998131811618805, -0.19552521407604218, -0.025022603571414948, 0.23183010518550873]"
19.0,"[-0.20641246438026428, -0.09428292512893677, 0.14446291327476501, 0.25318005681037903, 0.2529606521129608, -0.10393845289945602, 0.011638931930065155, 0.10344119369983673, 0.15502910315990448, 0.04398805648088455, 0.3504166007041931, 0.2531767785549164, 0.36794525384902954, -0.15948061645030975, -0.2584078907966614, 0.16286566853523254, -0.003729455405846238, -0.005633729510009289, 0.0548701174557209, -0.03182506561279297, 0.016311587765812874, 0.13491596281528473, -0.11458417028188705, 0.14369982481002808, 0.3462899923324585, -0.03298058733344078, -0.20665764808654785, 0.12308284640312195, -0.05802275612950325, -0.0498974472284317, 0.07799338549375534, -0.25261208415031433]"
20.0,"[0.07801885157823563, 0.22486023604869843, -0.12910760939121246, 0.10797537863254547, 0.15231166779994965, -0.1987791806459427, -0.05136518552899361, 0.014686858281493187, -0.2803654968738556, -0.0626167580485344, 0.48466041684150696, 0.0998842716217041, -0.112113818526268, -0.12076742202043533, 0.10794199258089066, 0.1125606968998909, 0.14466452598571777, 0.3774998188018799, -0.09270574152469635, 0.017265066504478455, 0.053017668426036835, 0.007779986597597599, -0.0681617259979248, 0.2308925837278366, 0.3381696939468384, -0.2291078269481659, -0.08411736786365509, 0.07324309647083282, -0.06993475556373596, -0.00543963024392724, 0.18123865127563477, -0.14272674918174744]"
21.0,"[-0.1306961178779602, 0.12468691170215607, 0.14131996035575867, 0.02152133919298649, -0.2397570013999939, 0.16864870488643646, 0.078812375664711, 0.18002106249332428, 0.0990401953458786, -0.07360748201608658, 0.4442797899246216, -0.3055817782878876, 0.12244358658790588, 0.1931464672088623, -0.13119709491729736, -0.008147045038640499, 0.11659654974937439, 0.055131882429122925, -0.019958002492785454, 0.3042958676815033, 0.23462609946727753, -0.021159442141652107, -0.1585867553949356, 0.0949639081954956, 0.28374162316322327, -0.03754078224301338, 0.06669636815786362, -0.2333279401063919, 0.016386298462748528, -0.2606010138988495, -0.026382846757769585, 0.19453425705432892]"
22.0,"[0.0826977789402008, -0.012632270343601704, 0.06918539106845856, -0.007200759369879961, 0.18385300040245056, 0.10413434356451035, -0.14516831934452057, 0.08646070212125778, -0.06520547717809677, 0.2358073741197586, 0.3047100305557251, -0.028358330950140953, -0.18987734615802765, 0.026150377467274666, 0.0659460723400116, -0.11034807562828064, 0.17274115979671478, 0.3910568654537201, -0.15285302698612213, -0.011387607082724571, -0.07916493713855743, 0.1415986567735672, -0.08075028657913208, -0.28678667545318604, 0.3743569254875183, 0.21096278727054596, 0.009629840962588787, -0.11109495162963867, -0.19774699211120605, -0.24328602850437164, -0.03893832862377167, 0.2999351918697357]"
24.0,"[-0.03661193326115608, 0.06950469315052032, 0.09995345771312714, 0.03963323310017586, 0.35864368081092834, -0.08010625839233398, -0.09497705101966858, -0.14333483576774597, 0.15268582105636597, 0.1694084107875824, 0.4026887118816376, -0.10602298378944397, 0.3892282545566559, 0.02357463911175728, 0.06931458413600922, 0.023197632282972336, 0.14913931488990784, 0.1838054209947586, -0.2001400589942932, 0.21798929572105408, 0.04711558297276497, 0.25405755639076233, -0.028297696262598038, -0.01045901421457529, 0.2934058606624603, -0.06942074745893478, -0.16911332309246063, -0.04027819633483887, 0.044091369956731796, -0.30118587613105774, 0.062003012746572495, -0.0770990401506424]"
25.0,"[-0.027246547862887383, 0.0676330029964447, 0.3162081241607666, 0.004884826485067606, 0.08356399834156036, 0.041440315544605255, -0.024884410202503204, 0.23239068686962128, 0.17583611607551575, -0.18634912371635437, 0.3224937617778778, -0.04184568673372269, 0.011236562393605709, 0.08731399476528168, 0.07511571049690247, -0.2189597189426422, 0.19845984876155853, 0.18356113135814667, 0.1710936278104782, -0.24326619505882263, 0.19783027470111847, 0.04671791195869446, 0.12320543825626373, -0.17208032310009003, 0.44250360131263733, 0.2017069160938263, -0.017130183055996895, -0.198712557554245, 0.25877851247787476, -0.06313042342662811, 0.0596640482544899, 0.013558216392993927]"
26.0,"[0.09926243871450424, 0.10351815074682236, 0.1318380981683731, 0.19181695580482483, 0.020978057757019997, -0.08991575986146927, -0.089692622423172, -0.009042979218065739, -0.031143425032496452, -0.1821681708097458, 0.44606339931488037, -0.03514868766069412, -0.0028021379839628935, -0.020288726314902306, -0.061268582940101624, -0.19562198221683502, 0.14376023411750793, 0.11410395801067352, 0.0170880276709795, -0.13804921507835388, 0.07026135176420212, -0.11520328372716904, 0.05155109241604805, 0.0459853932261467, 0.6840304136276245, 0.12598854303359985, 0.18111854791641235, -0.032218363136053085, -0.04710526764392853, 0.04029601812362671, -0.13293208181858063, 0.1290614753961563]"
27.0,"[0.12628139555454254, 0.2316392958164215, -0.17847773432731628, 0.040951963514089584, 0.11429896205663681, -0.1073513776063919, 0.01097890455275774, 0.0065356669947505, -0.35105788707733154, -0.13768771290779114, 0.49008259177207947, 0.06025701016187668, -0.06178485229611397, 0.05150597542524338, 0.07202831655740738, -0.03598510101437569, -0.031292080879211426, 0.28528279066085815, 0.04828926920890808, -0.019573355093598366, -0.06580839306116104, -0.11019668728113174, 0.007925569079816341, 0.23179681599140167, 0.44936296343803406, -0.18787004053592682, 0.13729901611804962, -0.09621739387512207, -0.08162035048007965, -0.08746518939733505, 0.1848972737789154, -0.06301797926425934]"
28.0,"[-0.007150518242269754, 0.08731131255626678, 0.3037935793399811, 0.013699294999241829, 0.08909416943788528, 0.013861014507710934, -0.02488839440047741, 0.17439137399196625, 0.13493382930755615, -0.19238658249378204, 0.36062076687812805, -0.09575243294239044, 0.025196125730872154, 0.13042978942394257, 0.09067071229219437, -0.24163463711738586, 0.19220174849033356, 0.18595296144485474, 0.14223282039165497, -0.19926708936691284, 0.16530825197696686, 0.0561283603310585, 0.10492630302906036, -0.16718043386936188, 0.45277246832847595, 0.15046241879463196, 0.012571270577609539, -0.2360459268093109, 0.2899421751499176, -0.08533618599176407, 0.07588325440883636, 0.021832412108778954]"
30.0,"[-0.18294885754585266, 0.06221884861588478, 0.2902621626853943, 0.05184423550963402, 0.0427054800093174, -0.06755512207746506, -0.013315887190401554, 0.2267685830593109, -0.08668568730354309, -0.10628149658441544, 0.4369896352291107, 0.029671112075448036, 0.36051931977272034, 0.16479787230491638, -0.12917639315128326, -0.1533292829990387, -0.2680395245552063, -0.03613448888063431, 0.07622130215167999, -0.0987221896648407, -0.003010962624102831, 0.11849881708621979, -0.002644999185577035, 0.19537298381328583, 0.44269561767578125, 0.056893449276685715, -0.03373991325497627, -0.24831897020339966, 0.016407877206802368, -0.05370426923036575, 0.05117231607437134, -0.03203549236059189]"
33.0,"[0.12336467951536179, 0.04945509508252144, 0.08316702395677567, -0.09216908365488052, 0.0899210050702095, -0.1418929398059845, 0.0895097628235817, 0.3474186360836029, 0.25513917207717896, -0.2622765004634857, 0.19441555440425873, -0.013052777387201786, -0.18793566524982452, 0.047646742314100266, -0.054812680929899216, -0.02631481923162937, -0.15753482282161713, 0.1102304607629776, -0.16982856392860413, -0.09535674750804901, 0.19204145669937134, 0.02352873608469963, -0.05998776853084564, -0.01538592018187046, 0.3149806559085846, 0.19386164844036102, 0.056564945727586746, -0.31174883246421814, 0.2070087492465973, -0.337249755859375, 0.14893664419651031, -0.25441494584083557]"
35.0,"[-0.39789581298828125, 0.23407123982906342, -0.07707298547029495, 0.140748992562294, -0.0296743493527174, 0.12646731734275818, 0.0994003564119339, 0.060432661324739456, 0.0005944067961536348, -0.03017219714820385, 0.17710955440998077, 0.1527799665927887, 0.09803102910518646, 0.14021924138069153, 0.23307566344738007, -0.03671509400010109, -0.22590266168117523, 0.02158672921359539, 0.11884796619415283, 0.04714680090546608, 0.17668600380420685, 0.06982648372650146, 0.15878865122795105, -0.1130254790186882, 0.4681396484375, 0.11869587749242783, 0.16183049976825714, -0.3379741907119751, 0.07023676484823227, -0.02583281323313713, 0.23619896173477173, 0.11484955996274948]"
38.0,"[-0.043838053941726685, 0.11463692039251328, 0.007416762411594391, 0.1362312287092209, 0.171438530087471, -0.12664274871349335, -0.019487431272864342, 0.15642155706882477, -0.31405508518218994, -0.02090512588620186, 0.5531505346298218, 0.12779146432876587, 0.07364178448915482, 0.013882813975214958, -0.1576322764158249, 0.04567638784646988, -0.04600200429558754, 0.2604866921901703, 0.07711426168680191, -0.000645470863673836, -0.16265544295310974, 0.08599655330181122, -0.1688513308763504, 0.23025764524936676, 0.34066760540008545, -0.21769630908966064, -0.07248799502849579, -0.0016438211314380169, -0.10139022767543793, -0.048394232988357544, 0.2341502606868744, -0.12112804502248764]"
55.0,"[-0.06430613249540329, -0.07613875716924667, -0.13242992758750916, 0.13928943872451782, 0.08759848773479462, -0.003671299433335662, 0.20475052297115326, -0.12085064500570297, -0.14559482038021088, 0.01861046813428402, 0.3468600809574127, 0.12628769874572754, 0.13476420938968658, -0.003698058659210801, 0.08236714452505112, 0.04216090962290764, -0.03911222890019417, -0.03845749795436859, -0.2361745834350586, -0.1940307319164276, 0.12531879544258118, -0.2872184216976166, -0.16237299144268036, 0.18205028772354126, 0.5868802666664124, 0.12636718153953552, -0.013505452312529087, -0.10038311034440994, -0.04971032217144966, -0.002791735576465726, -0.09848947077989578, -0.25960564613342285]"
58.0,"[0.06841207295656204, 0.07439367473125458, 0.12259208410978317, -0.011887004598975182, 0.1208486557006836, 0.09822410345077515, -0.13370069861412048, 0.09159167110919952, -0.12088771909475327, 0.07262744009494781, 0.3893755078315735, -0.12243136018514633, -0.05277011916041374, 0.2046935111284256, 0.014561095274984837, -0.306204617023468, 0.1446836143732071, 0.2967459261417389, -0.024289969354867935, -0.03275742754340172, -0.11159961670637131, 0.10240842401981354, -0.00019393107504583895, -0.22312447428703308, 0.4285154640674591, 0.18952198326587677, 0.08746884018182755, -0.21533241868019104, -0.0820271372795105, -0.21754328906536102, -0.035912349820137024, 0.2943839132785797]"
59.0,"[0.06047365814447403, 0.036856554448604584, 0.07689829170703888, 0.06905081123113632, 0.041598450392484665, 0.04172934219241142, 0.03329983353614807, -0.05077051743865013, -0.04784608632326126, -0.14853757619857788, 0.38299939036369324, -0.1466091126203537, 0.2265433967113495, 0.39184197783470154, -0.12874987721443176, -0.347194641828537, -0.0224874559789896, -0.0448588952422142, 0.01700226403772831, -0.03472447022795677, -0.1664915531873703, -0.14025422930717468, -0.10007037967443466, 0.05899125710129738, 0.39539000391960144, 0.009407869540154934, 0.1580909788608551, -0.33426299691200256, 0.12114567309617996, -0.2580193877220154, -0.025170696899294853, -0.05195087939500809]"
62.0,"[-0.13048189878463745, 0.14094501733779907, 0.349989652633667, 0.20364102721214294, -0.020458513870835304, 0.06497764587402344, -0.2157754898071289, 0.12472645938396454, -0.22160233557224274, 0.12746554613113403, 0.3606248199939728, 0.15361788868904114, -0.07970897108316422, 0.13499146699905396, -0.09118267148733139, -0.1622248739004135, -0.1453012079000473, 0.20698580145835876, -0.10053297877311707, -0.03277917951345444, -0.2260827273130417, 0.2381579726934433, -0.3071565330028534, 0.0644659548997879, 0.28647616505622864, -0.030308274552226067, -0.0802285373210907, -0.2523297369480133, -0.0691496878862381, 0.021311407908797264, 0.0904160812497139, 0.07876113802194595]"
63.0,"[-0.2412964403629303, 0.09952467679977417, 0.24095582962036133, 0.12504516541957855, -0.048413053154945374, 0.1309969127178192, -0.061615701764822006, 0.10021091997623444, -0.28358036279678345, 0.15537866950035095, 0.3064027726650238, 0.19300134479999542, 0.05358460173010826, 0.0661088302731514, -0.12051444500684738, 0.01250180508941412, -0.21531467139720917, 0.0017494156491011381, -0.19902560114860535, -0.09954711049795151, -0.16819500923156738, 0.1568107306957245, -0.363768070936203, 0.17680945992469788, 0.24028734862804413, 0.0734131932258606, -0.22713220119476318, -0.28482043743133545, -0.004743178840726614, 0.07457076013088226, 0.03548556566238403, -0.22843778133392334]"
64.0,"[0.06825953722000122, 0.19147437810897827, -0.1320268213748932, 0.11264931410551071, 0.16161249577999115, -0.19759529829025269, -0.034194812178611755, 0.019049108028411865, -0.2745935916900635, -0.039932407438755035, 0.48356911540031433, 0.10134448111057281, -0.12521368265151978, -0.13753627240657806, 0.10232031345367432, 0.13742874562740326, 0.1563323438167572, 0.38324034214019775, -0.09830950945615768, 0.027685489505529404, 0.06259758025407791, 0.010780495591461658, -0.08243060857057571, 0.20735816657543182, 0.3267115354537964, -0.23151764273643494, -0.09129402786493301, 0.10288023203611374, -0.07846634835004807, 0.002617290010675788, 0.18435296416282654, -0.14773277938365936]"
65.0,"[-0.10469599068164825, -0.13685733079910278, -0.00519168796017766, 0.33210667967796326, 0.20143713057041168, -0.12353435158729553, 0.031868673861026764, -0.09442567825317383, 0.07684139162302017, 0.15562660992145538, 0.3400473892688751, 0.206831157207489, -0.04266568645834923, -0.27869364619255066, 0.0602521188557148, 0.21241769194602966, 0.16905993223190308, 0.1979014128446579, -0.11197498440742493, -0.014326206408441067, 0.1629030555486679, -0.0045542786829173565, -0.11120397597551346, -0.0398540236055851, 0.4886374771595001, -0.05094677954912186, -0.0364806242287159, 0.26875317096710205, -0.16060473024845123, 0.10396421700716019, 0.026221083477139473, -0.06500756740570068]"
66.0,"[-0.07969708740711212, -0.22050289809703827, -0.11596233397722244, 0.20780311524868011, 0.2498662769794464, 0.007481657899916172, 0.134027898311615, -0.14340808987617493, -0.0002518011024221778, 0.31370601058006287, 0.36808329820632935, 0.003376838518306613, 0.15586496889591217, -0.12516841292381287, 0.09425429999828339, 0.4023759663105011, -0.03442491963505745, 0.07781358808279037, -0.10679687559604645, 0.12053633481264114, -0.03422410041093826, -0.030596163123846054, -0.27522939443588257, -0.06251560151576996, 0.28873416781425476, -0.23935112357139587, -0.0900784283876419, 0.06200092285871506, 0.005351508501917124, -0.14604544639587402, 0.13949061930179596, -0.18533094227313995]"
67.0,"[0.1488029956817627, -0.09296148270368576, 0.04567445069551468, 0.1542629599571228, 0.1157010942697525, 0.014615270309150219, 0.06382206827402115, -0.13673995435237885, 0.012192168273031712, -0.028003213927149773, 0.41918298602104187, -0.10143652558326721, 0.1930333375930786, 0.21999748051166534, -0.03898175433278084, -0.09464630484580994, -0.09318763017654419, -0.028321441262960434, -0.10391252487897873, -0.06217430531978607, -0.1591397374868393, -0.23263861238956451, -0.23683905601501465, 0.08912695944309235, 0.4521220624446869, -0.08863019943237305, 0.0984114408493042, -0.28501686453819275, 0.13013461232185364, -0.288825660943985, -0.028631098568439484, -0.2277938425540924]"
68.0,"[-0.4187532365322113, -0.11131696403026581, 0.22102539241313934, 0.010547357611358166, 0.003441548440605402, 0.18260496854782104, 0.1308809518814087, 0.05470607057213783, -0.0855528861284256, 0.08900552242994308, 0.344657301902771, 0.17346420884132385, 0.03357535973191261, 0.07423781603574753, -0.1970672309398651, -0.054973434656858444, -0.21689870953559875, 0.14275649189949036, -0.011406066827476025, 0.2554463744163513, -0.11000674217939377, 0.3451778292655945, -0.06761059165000916, 0.06718961894512177, 0.27485135197639465, 0.07147959619760513, -0.03857836499810219, -0.049844078719615936, -0.07099711894989014, 0.07681330293416977, 0.19628721475601196, -0.299931138753891]"
69.0,"[0.19224093854427338, 0.25681018829345703, -0.1341446191072464, -0.0003853916423395276, 0.07385648041963577, -0.08505908399820328, -0.013263537548482418, 0.053063519299030304, -0.3071393072605133, -0.21659159660339355, 0.4586999714374542, -0.0005511230556294322, -0.055876005440950394, 0.13405978679656982, 0.017992394044995308, -0.1345520317554474, -0.05015270784497261, 0.23620635271072388, 0.10064749419689178, -0.054416220635175705, -0.10898091644048691, -0.12963998317718506, 0.03173710033297539, 0.18990211188793182, 0.43497633934020996, -0.12969760596752167, 0.18483254313468933, -0.20852045714855194, -0.015396110713481903, -0.16070744395256042, 0.15915599465370178, -0.0048484900034964085]"
70.0,"[0.060149308294057846, 0.11734834313392639, 0.07008067518472672, 0.2657674252986908, 0.05529852956533432, -0.11382856965065002, -0.07546509802341461, -0.04221773520112038, -0.016633694991469383, -0.13924963772296906, 0.4433755874633789, 0.07809764891862869, 0.005058029666543007, -0.10517409443855286, -0.03882739320397377, -0.08907013386487961, 0.14372220635414124, 0.11777158081531525, -0.039455167949199677, -0.13890208303928375, 0.12677747011184692, -0.12905757129192352, 0.0017953490605577826, 0.11264722049236298, 0.701881468296051, 0.08133731037378311, 0.11266225576400757, 0.03813633322715759, -0.08693131804466248, 0.07451435178518295, -0.10764623433351517, 0.04246877133846283]"
71.0,"[-0.3281748294830322, -0.22919943928718567, -0.05373267084360123, 0.14941394329071045, 0.07535219192504883, 0.1477217972278595, 0.20916186273097992, -0.17446355521678925, 0.13655692338943481, 0.14897063374519348, 0.16179604828357697, 0.29229646921157837, -0.004365165717899799, -0.2503090500831604, 0.05656927451491356, 0.22650830447673798, -0.046835850924253464, 0.05056556314229965, -0.07137224078178406, 0.09965503215789795, 0.1585620790719986, 0.023190924897789955, 0.026125023141503334, -0.043220404535532, 0.44800740480422974, 0.12129169702529907, 0.007051703054457903, 0.146744042634964, -0.11484906822443008, 0.15565825998783112, 0.024586930871009827, -0.3466988801956177]"
73.0,"[0.10102957487106323, 0.09536190330982208, 0.15076874196529388, 0.15368296205997467, 0.006525811739265919, -0.06813536584377289, -0.08572708070278168, -0.01790725439786911, -0.035334955900907516, -0.21835732460021973, 0.4261579215526581, -0.06642043590545654, 0.007544090040028095, 0.06387557834386826, -0.10748378187417984, -0.29292502999305725, 0.1369193196296692, 0.10273581743240356, 0.04241493344306946, -0.11343991011381149, 0.00823318399488926, -0.10359092056751251, 0.0710485577583313, 0.02617671899497509, 0.6441576480865479, 0.14068330824375153, 0.21940888464450836, -0.08087696135044098, -0.029413828626275063, 0.007857265882194042, -0.13193869590759277, 0.1315334141254425]"
74.0,"[-0.06021149083971977, -0.18318843841552734, 0.129255011677742, 0.034069910645484924, 0.10444401949644089, 0.04025064408779144, 0.023644406348466873, 0.22799816727638245, -0.2829272747039795, 0.23509259521961212, 0.38454294204711914, 0.10304087400436401, 0.034605082124471664, 0.11831016093492508, -0.041351523250341415, 0.015465431846678257, -0.34745121002197266, 0.18248321115970612, -0.11093280464410782, -0.11200515180826187, -0.18453319370746613, 0.02320123091340065, -0.349396675825119, 0.11984849721193314, 0.3185356557369232, -0.057314444333314896, -0.03670937940478325, -0.14613594114780426, -0.2575627565383911, -0.1328365057706833, 0.07224344462156296, 0.048625316470861435]"
75.0,"[-0.40996965765953064, -0.252898633480072, 0.139036163687706, 0.18118669092655182, 0.10649634897708893, 0.15969780087471008, 0.10789353400468826, 0.07408561557531357, -0.04200868308544159, 0.28967925906181335, 0.2790454924106598, 0.2789665460586548, -0.005297012627124786, -0.13188788294792175, -0.07764772325754166, 0.1755591779947281, -0.12724186480045319, 0.11718492209911346, 0.01548794750124216, 0.09523184597492218, -0.029004082083702087, 0.2501979470252991, -0.1505981832742691, -0.10774204879999161, 0.29081791639328003, 0.06029658392071724, -0.09461133927106857, 0.14792868494987488, -0.16543814539909363, 0.16838984191417694, 0.11550698429346085, -0.2027825266122818]"
76.0,"[0.0837748795747757, 0.26023775339126587, -0.12678813934326172, 0.10298560559749603, 0.14945082366466522, -0.20790354907512665, -0.06646118313074112, 0.01745179109275341, -0.2746533155441284, -0.08392974734306335, 0.47338053584098816, 0.10114888846874237, -0.10741275548934937, -0.11359047144651413, 0.11212980002164841, 0.10206729918718338, 0.14731714129447937, 0.37518224120140076, -0.09157653152942657, 0.011661072261631489, 0.05027567222714424, 0.017834244295954704, -0.05857422202825546, 0.24225978553295135, 0.3276035487651825, -0.22595593333244324, -0.09210845082998276, 0.045753806829452515, -0.048242416232824326, -0.018713433295488358, 0.1905236542224884, -0.14205117523670197]"
